tiempo,mem_total,mem_libre,mem_disponible,mem_usada_pct,swap_total,swap_libre,swap_usada_pct
131,8132436,4045012,4660332,42.69,524284,358448,31.63
132,8132436,4057628,4672948,42.54,524284,358448,31.63
133,8132436,4170108,4785428,41.16,524284,358448,31.63
134,8132436,4177472,4792792,41.07,524284,358448,31.63
135,8132436,4180656,4795976,41.03,524284,358448,31.63
136,8132436,4184880,4800208,40.97,524284,358448,31.63
137,8132436,4156924,4772252,41.32,524284,358448,31.63
138,8132436,4059016,4674344,42.52,524284,358448,31.63
139,8132436,3994756,4610084,43.31,524284,358448,31.63
140,8132436,3858148,4473476,44.99,524284,358448,31.63
141,8132436,3858184,4473512,44.99,524284,358448,31.63
142,8132436,3810304,4425640,45.58,524284,358448,31.63
143,8132436,3769984,4385320,46.08,524284,358448,31.63
144,8132436,3722356,4337692,46.66,524284,358448,31.63
145,8132436,3682676,4298012,47.15,524284,358448,31.63
146,8132436,4047420,4662756,42.66,524284,358448,31.63
147,8132436,4196816,4812152,40.83,524284,358448,31.63
148,8132436,4196728,4812064,40.83,524284,358448,31.63
